nr	P	Pdb	h	a	a_occ	R	time	R_ref
				[ 0.  0. -0. -1.]	1			
				[ 1. -1.  1.  0.]	1			
				[-1.  1.  1. -0.]	1			
29	 1.96	 2.91	std	[-1.  0. -0.  0.]	3	 0.70	 2.34	 0.32
				[-0. -1. -0. -0.]	2			
				[ 0.  1. -0. -0.]	1			
				[ 0.  0. -1.  1.]	1			
				[ 0.  0.  1. -0.]	1			
				[-1.  0. -0. -1.]	1			
				[ 1. -0.  0. -0.]	1			
30	 2.00	 3.02	std	[ 0. -0.  0.  1.]	2	 0.50	 2.20	 0.09
				[-0. -1.  0. -0.]	2			
				[ 0.  1. -0.  0.]	1			
				[ 0. -1. -1. -0.]	1			
				[-0. -0.  1. -0.]	1			
				[-1. -1. -0. -0.]	1			
				[-1.  1. -0. -1.]	1			
				[-0.  0. -1.  0.]	1			
31	 2.05	 3.12	std	[ 0.  0. -1. -0.]	2	 0.68	 2.16	 0.24
				[ 1.  0. -0.  0.]	2			
				[-0.  1. -0.  0.]	2			
				[ 1. -1.  1. -0.]	1			
				[ 0. -0.  1. -0.]	1			
				[-1. -0.  0. -0.]	1			
				[ 0.  1. -0.  1.]	1			
32	 2.10	 3.22	std	[ 0. -0. -0.  1.]	3	 0.59	 2.39	 0.40
				[ 0. -0.  0. -1.]	2			
				[ 1.  0.  1. -0.]	1			
				[ 0.  1.  0. -1.]	1			
				[ 1.  0.  1. -1.]	1			
				[-0. -0.  1. -0.]	1			
				[-1. -0.  0. -0.]	1			
33	 2.15	 3.32	std	[-0. -0.  0. -1.]	2	 0.66	 2.17	 0.28
				[ 1.  0. -0.  0.]	2			
				[ 0. -1.  0.  0.]	1			
				[-0. -0. -1. -0.]	1			
				[-0. -0.  1. -0.]	1			
				[ 0. -0. -0.  1.]	1			
				[ 0.  1.  0.  0.]	1			
				[ 0.  0.  1. -1.]	1			
34	 2.20	 3.42	std	[ 0.  0.  0.  1.]	4	 0.62	 2.21	 0.38
				[-0. -1.  0. -0.]	2			
				[ 0. -1. -1. -1.]	1			
				[-1.  1. -0. -1.]	1			
				[ 1. -0.  1. -0.]	1			
				[-0.  0. -1.  0.]	1			
35	 2.25	 3.52	std	[-0.  0.  0.  1.]	2	 0.87	 2.36	 0.34
				[-0. -0.  1.  1.]	1			
				[-0.  0.  0. -1.]	1			
				[-0. -1.  1.  1.]	1			
				[-1. -0. -0.  0.]	1			
				[-0. -0. -1.  0.]	1			
				[-0. -1. -0. -0.]	1			
				[-0. -1. -1. -0.]	1			
				[ 1.  0.  0. -1.]	1			
36	 2.30	 3.62	std	[-0.  0.  0.  1.]	2	 0.89	 2.47	 0.26
				[ 0. -1. -0.  0.]	2			
				[ 1. -1. -0. -0.]	1			
				[-0. -1. -0. -1.]	1			
				[ 0.  0. -1. -0.]	1			
				[-1. -0. -1.  1.]	1			
				[-0.  1.  0.  0.]	1			
				[ 0.  1.  0. -1.]	1			
37	 2.35	 3.72	std	[-0. -1.  0.  0.]	2	 0.76	 2.22	 0.32
				[-0. -1. -0. -1.]	1			
				[-0. -0. -1.  0.]	1			
				[ 0. -0.  0.  1.]	1			
				[-1.  1. -1. -0.]	1			
				[-1.  1. -0.  0.]	1			
				[ 0.  1. -0. -0.]	1			
				[ 1. -0.  0.  1.]	1			
				[ 1. -0.  0.  0.]	1			
38	 2.41	 3.82	std	[-0.  1.  0. -0.]	2	 0.68	 2.31	 0.24
				[-0. -0. -1.  0.]	2			
				[ 0.  1. -1.  1.]	1			
				[-1. -1. -0. -1.]	1			
				[ 1.  1.  0.  1.]	1			
				[-0. -1.  0.  0.]	1			
				[ 0. -0.  1.  0.]	1			
				[ 1.  0. -1. -0.]	1			
39	 2.47	 3.92	std	[ 0. -1. -0.  0.]	3	 0.63	 2.25	 0.23
				[-1.  0. -0. -0.]	2			
				[ 1.  1.  2.  0.]	1			
				[ 0.  0. -0.  1.]	1			
				[ 1.  0.  0.  1.]	1			
				[ 0.  0. -1.  0.]	1			
				[ 1. -0. -0.  0.]	1			
40	 2.52	 4.02	std	[-0.  1. -0. -0.]	2	 0.73	 2.39	 0.24
				[-1.  1. -1.  0.]	1			
				[-0. -0. -0. -1.]	1			
				[-0. -1.  1. -0.]	1			
				[-0. -0.  1. -1.]	1			
				[ 1. -0. -1.  1.]	1			
				[ 0. -0. -1. -0.]	1			
				[ 0. -0. -1. -1.]	1			
				[-1.  0.  1. -0.]	1			
41	 2.58	 4.12	std	[-0.  0.  1.  0.]	2	 0.70	 2.20	 0.28
				[-1. -0. -0. -0.]	1			
				[-0. -0.  0. -1.]	1			
				[-0.  0. -1.  0.]	1			
				[ 0. -1. -1.  1.]	1			
				[-1.  1.  1.  0.]	1			
				[ 0.  0. -0.  1.]	1			
				[ 1. -0.  0.  1.]	1			
				[ 0.  1. -0. -0.]	1			
42	 2.64	 4.22	std	[ 0. -0.  1.  0.]	2	 0.69	 2.18	 0.45
				[ 0. -0. -0.  1.]	2			
				[ 1.  0. -0. -0.]	1			
				[-1.  0.  1.  1.]	1			
				[-0.  0. -1. -1.]	1			
				[ 0. -1. -0. -0.]	1			
				[-1.  1. -0.  0.]	1			
				[ 0.  1.  1.  0.]	1			
43	 2.70	 4.32	std	[ 1.  0.  0. -0.]	2	 0.75	 2.33	 0.31
				[-0. -1.  0.  0.]	1			
				[-1.  1. -0. -0.]	1			
				[-0.  0.  1.  0.]	1			
				[ 0.  0. -0.  1.]	1			
				[-1.  0.  0. -0.]	1			
				[-1. -1. -1.  0.]	1			
				[-0. -0. -1. -0.]	1			
				[-0. -1.  1.  0.]	1			
44	 2.77	 4.42	std	[-0. -0.  0.  1.]	2	 0.78	 2.29	 0.27
				[ 1.  1. -0. -1.]	1			
				[ 0. -0. -0. -1.]	1			
				[-0. -1.  0.  1.]	1			
				[ 1. -0.  1. -0.]	1			
				[-0. -0. -1.  0.]	1			
				[ 0.  1.  1. -0.]	1			
				[ 0.  1.  0.  0.]	1			
				[ 1. -1.  0.  0.]	1			
45	 2.83	 4.52	std	[-0. -0.  0. -1.]	2	 0.75	 2.38	 0.42
				[ 0.  1. -0.  0.]	2			
				[-0. -0. -0.  1.]	2			
				[-0.  0. -1.  1.]	1			
				[ 1. -1. -0.  1.]	1			
				[ 1. -0.  0. -1.]	1			
				[ 1.  1. -0. -0.]	1			
46	 2.90	 4.62	std	[ 1.  0.  0. -0.]	2	 0.86	 2.50	 0.38
				[ 0.  0. -1. -1.]	2			
				[ 0.  1. -0. -0.]	1			
				[-1. -0. -0.  1.]	1			
				[ 1.  0.  0. -1.]	1			
				[-1.  0. -2. -1.]	1			
				[-0. -1.  1.  0.]	1			
				[ 0. -1.  1.  1.]	1			
47	 2.97	 4.72	std	[-0. -1. -0.  0.]	2	 0.73	 2.42	 0.31
				[-0.  0.  1.  0.]	2			
				[ 0. -0. -1.  0.]	1			
				[ 0.  0.  0. -1.]	1			
				[ 0.  1.  1. -0.]	1			
				[-1. -0. -0.  0.]	1			
				[-0. -0.  0.  1.]	1			
				[ 0. -2. -1.  1.]	1			
48	 3.04	 4.82	std	[-0. -1. -0. -0.]	3	 0.79	 2.51	 0.22
				[-0. -0.  1. -0.]	3			
				[-1.  0.  0.  0.]	1			
				[ 0. -0. -0.  1.]	1			
				[ 1. -0.  1. -0.]	1			
				[ 0.  0.  1. -1.]	1			
49	 3.11	 4.92	std	[ 1.  0. -0.  0.]	2	 0.66	 2.27	 0.24
				[ 0. -0. -0.  1.]	1			
				[-0.  0. -1.  1.]	1			
				[-1. -0. -0. -1.]	1			
				[-0.  0. -1. -1.]	1			
				[-1.  0.  0.  0.]	1			
				[-1. -0.  1.  0.]	1			
				[-0. -0.  1.  0.]	1			
				[ 0. -0.  0. -1.]	1			
50	 3.18	 5.03	std	[-0. -0.  0. -1.]	3	 0.74	 2.30	 0.29
				[-0. -0. -1.  0.]	3			
				[ 0. -1. -1. -0.]	1			
				[ 0.  0.  0.  1.]	1			
				[ 1. -0.  0.  0.]	1			
				[-0.  1. -0. -0.]	1			
51	 3.26	 5.13	std	[-1.  0.  0.  0.]	3	 0.85	 2.32	 0.44
				[-1.  0.  0.  1.]	1			
				[-0. -0. -1.  0.]	1			
				[ 0.  0.  1.  0.]	1			
				[ 0.  1. -1. -0.]	1			
				[-0.  0. -0.  1.]	1			
				[ 1.  0.  0.  0.]	1			
				[-1.  0.  1.  1.]	1			
52	 3.33	 5.23	std	[ 0. -0. -1. -0.]	2	 1.01	 2.56	 0.41
				[ 0. -1.  0.  0.]	2			
				[-1.  0.  0. -0.]	1			
				[-0.  1.  0. -0.]	1			
				[ 1.  0.  0. -1.]	1			
				[-1. -1. -1. -1.]	1			
				[ 0.  0.  1. -0.]	1			
				[ 0. -1. -1.  1.]	1			
53	 3.41	 5.33	std	[-1. -1. -0.  0.]	1	 0.80	 2.46	 0.27
				[ 0. -1. -1.  1.]	1			
				[-0. -1.  0. -0.]	1			
				[-0.  1.  0.  1.]	1			
				[ 1.  1.  0.  0.]	1			
				[ 0. -0. -1.  0.]	1			
				[-0.  0.  1. -1.]	1			
				[ 0.  0.  1.  0.]	1			
				[-1. -1. -0.  1.]	1			
				[ 0.  1.  0.  0.]	1			
54	 3.49	 5.43	std	[-1. -0. -0. -0.]	2	 0.85	 2.63	 0.23
				[-0.  0. -0. -1.]	1			
				[ 0. -1.  0.  1.]	1			
				[-0. -1. -0. -0.]	1			
				[ 1. -1.  0.  1.]	1			
				[-0.  0. -1.  0.]	1			
				[-0.  1. -0.  0.]	1			
				[-1. -0. -1. -0.]	1			
				[-1.  0.  0. -1.]	1			
55	 3.57	 5.53	std	[ 0. -1. -1.  1.]	1	 0.96	 2.57	 0.00
				[ 0. -1.  0. -1.]	1			
				[ 1. -0. -1. -0.]	1			
				[-0.  1.  1. -0.]	1			
				[ 1.  1. -0.  1.]	1			
				[-0. -1. -0. -0.]	1			
				[ 0. -0. -1. -1.]	1			
				[ 0. -1.  1.  0.]	1			
				[-0.  1.  0. -0.]	1			
				[-1. -0. -0. -0.]	1			
56	 3.65	 5.63	std	[ 1.  1. -0. -0.]	2	 0.95	 2.56	 0.35
				[ 0. -0.  0.  1.]	1			
				[ 2. -1.  0.  1.]	1			
				[ 0.  0.  1.  1.]	1			
				[ 0. -1. -0.  1.]	1			
				[ 1.  1.  2. -0.]	1			
				[ 0. -1. -0. -0.]	1			
				[-1. -1. -0.  0.]	1			
				[ 1.  0.  0. -0.]	1			
57	 3.74	 5.73	std	[ 0.  0.  1. -0.]	2	 0.60	 2.27	 0.18
				[ 0. -1.  0.  0.]	1			
				[-1.  1.  1.  0.]	1			
				[-1.  0.  0. -1.]	1			
				[-0.  1. -0. -0.]	1			
				[-0.  0. -0.  1.]	1			
				[-1.  1. -0. -0.]	1			
				[ 0.  0. -0. -1.]	1			
				[-1.  1. -0.  1.]	1			
58	 3.83	 5.83	std	[-0. -0. -1. -1.]	2	 0.76	 2.41	 0.19
				[ 1. -0. -0. -1.]	1			
				[-0. -1.  0.  1.]	1			
				[-1.  0. -0.  0.]	1			
				[-0.  1.  0.  0.]	1			
				[-0.  1.  1.  1.]	1			
				[ 1. -0.  0.  0.]	1			
				[ 1.  1.  1.  0.]	1			
				[-0.  0. -0.  1.]	1			
59	 3.92	 5.93	std	[ 0. -1. -0.  0.]	3	 0.61	 2.31	 0.30
				[ 0.  1.  0. -0.]	2			
				[-0.  0.  1. -1.]	1			
				[-0. -1. -0. -1.]	1			
				[ 0.  0.  0. -1.]	1			
				[-1. -0. -0.  0.]	1			
				[-1. -1. -0. -1.]	1			
60	 4.01	 6.03	std	[ 1.  0.  0. -0.]	2	 0.70	 2.31	 0.25
				[-0.  1.  0. -0.]	1			
				[-0. -1. -0. -0.]	1			
				[ 0. -0.  1.  0.]	1			
				[ 1.  0. -1.  1.]	1			
				[-0. -0. -0. -1.]	1			
				[-1.  0.  1. -2.]	1			
				[-1.  1. -0. -1.]	1			
				[ 1. -0. -0. -1.]	1			
61	 4.10	 6.13	std	[ 1. -1. -0.  0.]	1	 0.91	 2.66	 0.00
				[-0. -1. -0. -0.]	1			
				[-1. -0.  0.  1.]	1			
				[-1. -0. -0. -0.]	1			
				[ 1. -1. -1.  0.]	1			
				[-0. -0.  1. -0.]	1			
				[-0. -0. -0.  1.]	1			
				[-1.  0.  1. -0.]	1			
				[ 1. -1. -0. -1.]	1			
				[ 1.  2.  1. -1.]	1			
62	 4.20	 6.23	std	[-0.  0. -1. -0.]	2	 0.67	 4.27	 0.34
				[ 1.  1.  0.  0.]	1			
				[-1.  0. -1.  2.]	1			
				[ 0.  1. -0.  1.]	1			
				[-0. -0.  1.  1.]	1			
				[-0. -0.  1. -0.]	1			
				[ 1.  1.  2. -2.]	1			
				[ 0.  1. -1.  0.]	1			
				[-0.  0.  1. -1.]	1			
63	 4.30	 6.33	std	[ 0. -0. -1.  0.]	3	 0.96	 2.50	 0.51
				[ 1. -0.  1. -0.]	1			
				[ 0.  1. -0.  0.]	1			
				[-0. -0.  1.  0.]	1			
				[ 0.  0.  0. -1.]	1			
				[-1.  1. -0.  0.]	1			
				[-1.  1. -1.  0.]	1			
				[-0.  1. -1. -0.]	1			
64	 4.40	 6.43	std	[-0.  1.  0.  0.]	2	 0.83	 2.56	 0.41
				[ 0. -0.  1. -1.]	1			
				[ 0.  1.  1. -0.]	1			
				[ 0. -1. -0. -0.]	1			
				[-0.  0.  0. -1.]	1			
				[ 0.  0.  1.  0.]	1			
				[-1.  1.  1. -1.]	1			
				[-1. -1.  0.  0.]	1			
				[ 1.  0.  0. -1.]	1			
65	 4.50	 6.53	std	[ 0.  0.  0. -1.]	2	 0.87	 2.56	 0.36
				[ 0.  0. -0.  1.]	1			
				[ 1.  1. -1. -0.]	1			
				[ 0. -0.  1.  0.]	1			
				[-1.  0.  1.  1.]	1			
				[ 1.  0. -0. -0.]	1			
				[ 1.  0.  1. -1.]	1			
				[-1. -1.  1. -1.]	1			
				[ 0.  1.  0.  1.]	1			
66	 4.61	 6.63	std	[-1. -0.  0.  0.]	2	 0.95	 2.92	 0.43
				[ 1. -1. -1.  1.]	1			
				[ 0.  2.  1.  1.]	1			
				[ 0.  0. -0. -1.]	1			
				[-0.  1.  1. -1.]	1			
				[-0.  1. -0.  1.]	1			
				[ 1. -0.  0.  0.]	1			
				[-0.  1.  1. -0.]	1			
				[ 0.  0. -1. -0.]	1			
67	 4.71	 6.73	std	[ 0. -0. -1. -0.]	2	 0.90	 2.80	 0.37
				[ 0.  1. -0. -0.]	2			
				[-1.  0. -0. -1.]	1			
				[-1.  1. -1.  0.]	1			
				[-0.  0.  1. -0.]	1			
				[ 1.  0. -0. -0.]	1			
				[ 0. -1.  0.  1.]	1			
				[-1. -0.  0.  0.]	1			
68	 4.82	 6.83	std	[ 0. -0.  1.  0.]	2	 0.75	 2.40	 0.25
				[ 1. -0.  0. -1.]	2			
				[ 1. -1. -1.  0.]	1			
				[ 1. -1.  0.  1.]	1			
				[-1. -0. -1. -0.]	1			
				[ 1. -0.  0. -0.]	1			
				[ 0.  0. -0. -1.]	1			
				[ 1. -1.  1.  0.]	1			
69	 4.94	 6.93	std	[ 1. -0.  0.  0.]	2	 0.95	 2.35	 0.42
				[-0. -1.  0. -0.]	2			
				[ 0. -0.  1.  1.]	1			
				[ 0.  0. -0.  1.]	1			
				[-0.  1. -0. -1.]	1			
				[ 0.  1. -0. -0.]	1			
				[-1.  0.  0.  1.]	1			
				[ 1.  0. -1.  1.]	1			
70	 5.05	 7.04	std	[-0.  0. -0.  1.]	2	 0.68	 2.44	 0.35
				[ 1. -0.  0.  1.]	2			
				[ 0.  1.  1.  2.]	1			
				[ 0.  0.  0. -1.]	1			
				[-1. -0. -1.  0.]	1			
				[ 0.  1.  0. -1.]	1			
				[ 1. -0. -0. -0.]	1			
				[-0.  0.  1.  1.]	1			
71	 5.17	 7.14	std	[-0.  0.  1.  0.]	2	 0.85	 2.65	 0.36
				[-0.  0. -0. -1.]	1			
				[-1.  1. -0. -0.]	1			
				[-0.  1. -0.  1.]	1			
				[ 1. -1.  0. -1.]	1			
				[ 1.  0. -1.  0.]	1			
				[-0.  1. -1. -1.]	1			
				[-0.  0. -1.  0.]	1			
				[ 0. -1. -0. -0.]	1			
72	 5.29	 7.24	std	[-0.  0. -1. -1.]	3	 0.93	 2.61	 0.44
				[-0.  1. -1. -1.]	1			
				[ 0. -1. -0.  1.]	1			
				[ 0. -0.  1. -0.]	1			
				[-0. -0. -1.  0.]	1			
				[ 0. -1. -0.  0.]	1			
				[-0.  1.  0. -0.]	1			
				[-1. -0. -2.  2.]	1			
73	 5.42	 7.34	std	[-0. -1.  0.  0.]	2	 0.95	 2.73	 0.43
				[ 0.  1.  1.  0.]	1			
				[-0.  1.  0. -0.]	1			
				[ 0.  0. -0.  1.]	1			
				[ 0.  0.  1.  0.]	1			
				[ 0. -0. -1. -0.]	1			
				[ 1. -0. -1.  1.]	1			
				[-1. -0. -1. -1.]	1			
				[-0.  1. -2.  1.]	1			
74	 5.54	 7.44	std	[ 0. -0.  1.  0.]	2	 0.76	 2.44	 0.41
				[ 0.  0. -1.  0.]	1			
				[-0.  1. -1.  0.]	1			
				[-0.  0.  0. -1.]	1			
				[ 0. -1. -0. -0.]	1			
				[-0.  1.  1.  1.]	1			
				[-2. -1.  1.  0.]	1			
				[ 0. -1. -1.  1.]	1			
				[-0.  1.  0. -0.]	1			
75	 5.67	 7.54	std	[-0.  1.  0.  0.]	2	 0.98	 2.57	 0.28
				[-1. -0. -0.  0.]	2			
				[ 0.  0.  1.  1.]	1			
				[ 0.  0.  1. -0.]	1			
				[ 1. -0.  0. -0.]	1			
				[-1. -1.  1.  0.]	1			
				[ 0. -1.  1. -0.]	1			
				[ 1. -0. -1. -2.]	1			
