nr	P	Pdb	h	a	a_occ	R	time	R_ref
#iterations=10 pstart=0 pend=2 pnum=200 L=4 Ku=4 time_scale=100
56	 3.65	 5.63	std	[ 0.  1. -0.  0.]	4	 0.80	 0.35	 0.33
				[-0. -0. -0. -1.]	2			
				[ 0.  0.  0.  1.]	1			
				[ 1.  0. -1. -1.]	1			
				[-0.  0. -1. -0.]	1			
				[-1. -0.  1.  0.]	1			
57	 3.74	 5.73	std	[ 0. -0. -0. -1.]	2	 0.83	 0.34	 0.26
				[-0. -0. -1.  0.]	2			
				[ 0. -1.  0. -0.]	1			
				[ 1. -0. -0. -0.]	1			
				[-0.  1.  0.  1.]	1			
				[-1. -0.  0. -1.]	1			
				[ 1. -2. -1.  1.]	1			
				[-0. -0.  1. -0.]	1			
58	 3.83	 5.83	std	[-0.  1. -0. -0.]	1	 0.76	 0.37	 0.18
				[ 1. -0.  0.  1.]	1			
				[ 1. -0. -0.  0.]	1			
				[ 0.  0.  0. -1.]	1			
				[ 0.  0. -1.  1.]	1			
				[-0.  1. -0. -1.]	1			
				[-0. -0.  1.  0.]	1			
				[ 0.  0. -1.  0.]	1			
				[ 1.  0. -1. -2.]	1			
				[-1.  0. -1. -0.]	1			
59	 3.92	 5.93	std	[ 1.  0. -0.  0.]	2	 0.80	 0.35	 0.33
				[-1.  0.  0.  0.]	1			
				[ 1. -1. -0.  0.]	1			
				[-0. -0. -1. -0.]	1			
				[-0.  1. -1. -1.]	1			
				[ 0.  1. -0.  0.]	1			
				[ 0.  0. -0.  1.]	1			
				[-0.  0. -0. -1.]	1			
				[ 0. -1. -0. -0.]	1			
60	 4.01	 6.03	std	[-0. -0.  0.  1.]	4	 0.71	 0.33	 0.42
				[-1. -0. -0. -0.]	1			
				[-1. -0. -1. -0.]	1			
				[-1.  0. -0. -1.]	1			
				[-0.  1.  0. -1.]	1			
				[ 1. -0.  0. -1.]	1			
				[ 0. -1. -0. -0.]	1			
61	 4.10	 6.13	std	[ 0.  0.  1.  0.]	4	 0.64	 0.34	 0.40
				[ 0.  0.  1.  1.]	1			
				[ 0.  0. -1. -1.]	1			
				[ 0.  0. -0.  1.]	1			
				[-1.  0.  1.  0.]	1			
				[-0.  1. -0.  1.]	1			
				[ 2. -1.  1.  0.]	1			
62	 4.20	 6.23	std	[ 0. -0.  0.  1.]	3	 0.72	 0.36	 0.31
				[ 0. -1. -0.  0.]	1			
				[-1.  2. -1.  1.]	1			
				[-1.  0. -1.  1.]	1			
				[ 0.  1. -1. -0.]	1			
				[ 0. -0. -1. -1.]	1			
				[-1.  0.  0.  0.]	1			
				[ 1.  0.  0.  0.]	1			
63	 4.30	 6.33	std	[-1.  0.  0.  0.]	2	 0.94	 0.36	 0.34
				[ 0. -0.  1.  0.]	1			
				[ 0.  1. -0.  1.]	1			
				[-0.  1. -1. -0.]	1			
				[-1. -1. -1.  1.]	1			
				[ 0.  1.  0. -0.]	1			
				[ 1.  1.  0.  0.]	1			
				[ 0.  0. -1.  0.]	1			
				[-0.  0. -1.  1.]	1			
64	 4.40	 6.43	std	[-0. -1. -1. -0.]	1	 0.71	 0.37	 0.19
				[ 0.  1. -1.  1.]	1			
				[ 1.  0.  0.  0.]	1			
				[-0. -1. -0. -0.]	1			
				[ 0. -0.  1.  0.]	1			
				[-1.  1.  2. -2.]	1			
				[ 0.  0. -0.  1.]	1			
				[-1.  0. -1.  0.]	1			
				[-1. -1.  1. -1.]	1			
				[-0.  0. -1. -0.]	1			
65	 4.50	 6.53	std	[-0. -0.  1.  0.]	2	 0.97	 0.37	 0.39
				[ 0.  0. -1. -1.]	1			
				[-0.  1.  0. -0.]	1			
				[ 0. -1.  0.  0.]	1			
				[-0.  1. -1.  0.]	1			
				[-0. -0.  1.  1.]	1			
				[ 1.  1. -1. -0.]	1			
				[-1.  2.  1. -2.]	1			
				[ 1.  0.  0. -0.]	1			
66	 4.61	 6.63	std	[-0.  1. -0.  0.]	2	 0.78	 0.36	 0.39
				[ 1. -0. -0. -0.]	1			
				[-1.  0.  0. -0.]	1			
				[-0.  0.  0. -1.]	1			
				[-1.  1.  0.  1.]	1			
				[ 0. -0.  1.  1.]	1			
				[ 1. -1. -1. -1.]	1			
				[ 0. -1. -1. -0.]	1			
				[ 0.  1. -0.  1.]	1			
67	 4.71	 6.73	std	[-1.  0.  1.  0.]	1	 1.03	 0.37	 0.00
				[-1.  0. -0.  1.]	1			
				[-0. -0.  1. -0.]	1			
				[ 1.  0. -0. -0.]	1			
				[ 1. -0. -0.  1.]	1			
				[-0. -0. -1.  1.]	1			
				[ 1.  0. -1. -1.]	1			
				[ 1. -0.  1. -0.]	1			
				[-0. -0. -0.  1.]	1			
				[ 0. -0. -0. -1.]	1			
68	 4.82	 6.83	std	[-1.  0.  0. -0.]	1	 0.83	 0.36	 0.35
				[-1. -1.  1. -0.]	1			
				[ 0.  0.  1.  0.]	1			
				[-2.  2. -1.  1.]	1			
				[-1.  0. -0. -1.]	1			
				[-0.  0.  1. -1.]	1			
				[-0.  0.  0. -1.]	1			
				[-0.  1. -0. -1.]	1			
				[-1.  1. -1. -1.]	1			
				[ 1. -1. -1.  1.]	1			
69	 4.94	 6.93	std	[-1.  0.  0.  0.]	3	 0.76	 0.37	 0.38
				[-1. -1. -0.  1.]	1			
				[ 1.  0. -0. -0.]	1			
				[ 0. -1. -1. -0.]	1			
				[-2. -1.  0. -1.]	1			
				[ 0. -0. -0.  1.]	1			
				[ 1.  1.  0. -1.]	1			
				[ 0.  1. -1.  0.]	1			
70	 5.05	 7.04	std	[-0.  0.  1.  1.]	2	 0.84	 0.36	 0.30
				[-1. -1. -1.  0.]	1			
				[-1.  1. -0. -0.]	1			
				[ 1. -0. -0. -0.]	1			
				[-0.  0.  0. -1.]	1			
				[ 0. -1. -0.  0.]	1			
				[ 2. -0. -1.  1.]	1			
				[ 1. -0. -0.  1.]	1			
				[ 0. -0.  1. -1.]	1			
71	 5.17	 7.14	std	[ 0.  0.  0. -1.]	2	 0.88	 0.38	 0.38
				[ 0. -1.  1.  1.]	1			
				[-0. -1.  0. -0.]	1			
				[-1.  0.  1.  0.]	1			
				[-1. -1. -0.  1.]	1			
				[ 1. -1.  1.  2.]	1			
				[-0.  1. -0.  0.]	1			
				[ 0. -0.  1.  0.]	1			
				[-1.  1.  0. -2.]	1			
72	 5.29	 7.24	std	[-0. -0. -1.  1.]	2	 0.86	 0.38	 0.00
				[-0. -1. -1. -2.]	1			
				[ 0.  1.  1.  1.]	1			
				[-0. -0. -0. -1.]	1			
				[ 1.  0.  1.  0.]	1			
				[ 1.  0.  2. -2.]	1			
				[-0.  1. -0.  0.]	1			
				[ 0.  1. -1.  1.]	1			
				[ 2.  1. -1.  1.]	1			
73	 5.42	 7.34	std	[-0. -0.  0. -1.]	3	 1.19	 0.39	 0.42
				[-1.  0.  0.  0.]	1			
				[-0. -1.  0.  0.]	1			
				[-1. -1.  0.  0.]	1			
				[ 1. -0.  1.  0.]	1			
				[ 1. -0.  0.  0.]	1			
				[-0.  0.  1. -0.]	1			
				[ 0.  1. -0.  0.]	1			
74	 5.54	 7.44	std	[-0. -1. -0.  1.]	3	 0.73	 0.35	 0.00
				[-0.  1.  0. -0.]	2			
				[ 0. -0. -1. -0.]	2			
				[ 1.  0. -0. -0.]	1			
				[ 1. -0.  0.  1.]	1			
				[ 0. -0.  1. -0.]	1			
75	 5.67	 7.54	std	[-1. -1.  1. -1.]	1	 0.82	 0.37	 0.00
				[ 0.  1. -1. -0.]	1			
				[-1. -1. -1.  0.]	1			
				[ 0.  0. -0. -1.]	1			
				[ 0. -1.  0. -0.]	1			
				[-0. -0. -1.  0.]	1			
				[-0. -1.  1.  1.]	1			
